Data set,All Authors affiliated with Dartmouth College,,,,,,,,,,
Entity,Dartmouth College,,,,,,,,,,
Year range,2013 to >2023,,,,,,,,,,
Types of publications included,all publication types,,,,,,,,,,
Self-citations,included,,,,,,,,,,
,,,,,,,,,,,
Data source,Scopus,,,,,,,,,,
Date last updated,12-Jun-24,,,,,,,,,,
,,,,,,,,,,,
Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Output in Top 10% Citation Percentiles (field-weighted),Oldest publication (since 1996),Scopus author ID,Scopus author profile,Primary author affiliation
"Moore, Jason Richard",3,2016,20,6.7,0.4,8,0,2012,55475199200,https://www.scopus.com/authid/detail.url?authorId=55475199200,University of New Mexico
"Kodali, Anita",3,2019,48,16,0.42,3,0,2013,57202506662,https://www.scopus.com/authid/detail.url?authorId=57202506662,Dartmouth College
"Allen, Treb",3,2023,47,15.7,1.47,7,1,2020,56423111800,https://www.scopus.com/authid/detail.url?authorId=56423111800,Dartmouth College
"Diop, Hafsatou",3,2016,99,33,2.34,28,1,2015,24314993700,https://www.scopus.com/authid/detail.url?authorId=24314993700,Commonwealth of Massachusetts
"Yuan, Zhenkun",3,2024,2,0.7,0.17,7,0,2023,56918992300,https://www.scopus.com/authid/detail.url?authorId=56918992300,Dartmouth College
"King, Jessica E.",3,2020,143,47.7,1.56,4,1,2016,57192166445,https://www.scopus.com/authid/detail.url?authorId=57192166445,Dartmouth College
"Yakaboski, Chase",3,2023,4,1.3,0.11,3,0,2019,57206731021,https://www.scopus.com/authid/detail.url?authorId=57206731021,Dartmouth College
"de Angeli, Nicole E.",3,2018,74,24.7,0.88,3,0,2016,57190212894,https://www.scopus.com/authid/detail.url?authorId=57190212894,Dartmouth College
"Rutter, Jeremy B.",3,2022,15,5,1.17,5,1,2010,37762078500,https://www.scopus.com/authid/detail.url?authorId=37762078500,Unknown affiliation
"McDermott, Shana M.",3,2024,29,9.7,0.9,8,0,2013,55511260000,https://www.scopus.com/authid/detail.url?authorId=55511260000,Trinity University
"Liu, Shang",3,2024,14,4.7,0.53,3,0,2022,57551592700,https://www.scopus.com/authid/detail.url?authorId=57551592700,Dartmouth College
"O'Rourke, Natasha F.",3,2017,41,13.7,0.43,3,0,2016,59062282200,https://www.scopus.com/authid/detail.url?authorId=59062282200,Unknown affiliation
"Singleton, Marcy N.",3,2023,10,3.3,0.4,11,0,2018,57191517902,https://www.scopus.com/authid/detail.url?authorId=57191517902,Dartmouth College
"Kelliher, Michael T.",3,2022,9,3,0.94,5,1,2022,36816171600,https://www.scopus.com/authid/detail.url?authorId=36816171600,Unknown affiliation
"Shubina, Anna",3,2017,5,1.7,0.34,6,3,2007,25652148900,https://www.scopus.com/authid/detail.url?authorId=25652148900,Dartmouth College
"Hards, Rufus",3,2022,60,20,0.72,4,0,2016,57192945790,https://www.scopus.com/authid/detail.url?authorId=57192945790,Dartmouth College
"Sorscher, Adam J.",3,2023,7,2.3,0.3,5,0,2007,16426467100,https://www.scopus.com/authid/detail.url?authorId=16426467100,Dartmouth College
"Mishra, Divya",3,2022,12,4,0.32,2,0,2020,57216085979,https://www.scopus.com/authid/detail.url?authorId=57216085979,Johns Hopkins University
"Wood, Andrew J.",3,2022,129,43,5.72,5,2,2020,57218392388,https://www.scopus.com/authid/detail.url?authorId=57218392388,University of California at San Francisco
"Misso, Zackary",3,2023,26,8.7,0.97,2,0,2019,57214690162,https://www.scopus.com/authid/detail.url?authorId=57214690162,Dartmouth College
"Hinrichs, C. E.",3,2024,3,1,0.3,2,0,2023,58304249600,https://www.scopus.com/authid/detail.url?authorId=58304249600,Dartmouth College
"Aguado, Txetxu",3,2023,0,0,0,2,0,2009,25925708400,https://www.scopus.com/authid/detail.url?authorId=25925708400,Dartmouth College
"Hviding, Raphael E.",3,2019,18,6,0.24,8,0,2018,57200918739,https://www.scopus.com/authid/detail.url?authorId=57200918739,University of Arizona
"Anagnost, Kaitlin M.",3,2023,13,4.3,0.45,2,0,2021,57221146669,https://www.scopus.com/authid/detail.url?authorId=57221146669,Dartmouth College
"Osterloh, Martin",3,2018,20,6.7,1.24,2,1,2015,57144275300,https://www.scopus.com/authid/detail.url?authorId=57144275300,Unknown affiliation
"Song, Yanli",3,2017,27,9,1.77,6,1,2017,56323684300,https://www.scopus.com/authid/detail.url?authorId=56323684300,Washington University St. Louis
"Abess, Alexander T.",3,2023,3,1,0.69,2,0,2023,57194039413,https://www.scopus.com/authid/detail.url?authorId=57194039413,Dartmouth College
"Alden, Stephanie Leigh",3,2022,67,22.3,0.82,7,0,2015,57203458368,https://www.scopus.com/authid/detail.url?authorId=57203458368,Johns Hopkins University
"van Sice, Corrie M.",3,2021,63,21,2.47,3,2,2019,57205334060,https://www.scopus.com/authid/detail.url?authorId=57205334060,University of Texas at Austin
"Hauke, Caitlyn A.",3,2017,65,21.7,0.92,3,0,2016,57191515524,https://www.scopus.com/authid/detail.url?authorId=57191515524,Dartmouth College
"Stempel, Zachary D.",3,2024,17,5.7,0.32,7,0,2019,57142554200,https://www.scopus.com/authid/detail.url?authorId=57142554200,Unknown affiliation
"Isaacson, Sven D.",3,2022,4,1.3,0.36,1,0,2021,57225051004,https://www.scopus.com/authid/detail.url?authorId=57225051004,Dartmouth College
"Baldissard, Suzanne",3,2015,125,41.7,1.55,4,0,2011,54381494200,https://www.scopus.com/authid/detail.url?authorId=54381494200,Dartmouth College
"Blood, Emily A.",3,2016,77,25.7,0.92,50,12,2007,6701604053,https://www.scopus.com/authid/detail.url?authorId=6701604053,Dartmouth College
"Chung, Robert T.",3,2023,1,0.3,0.31,1,0,2021,57732768700,https://www.scopus.com/authid/detail.url?authorId=57732768700,Dartmouth College
"Keller, William R.",3,2022,52,17.3,1.34,14,0,2018,35765375300,https://www.scopus.com/authid/detail.url?authorId=35765375300,Dartmouth College
"Gormley, Elizabeth Ann",3,2022,6,2,0.09,20,0,1999,7004143779,https://www.scopus.com/authid/detail.url?authorId=7004143779,Unknown affiliation
"Lee, Christopher",3,2023,9,3,0.44,2,0,2022,57918158800,https://www.scopus.com/authid/detail.url?authorId=57918158800,Unknown affiliation
"Huang, Mingwei",3,2022,7,2.3,0.39,2,0,2019,57207261025,https://www.scopus.com/authid/detail.url?authorId=57207261025,Dartmouth College
"Hill, John M.",3,2017,36,12,0.53,11,0,2006,55737889400,https://www.scopus.com/authid/detail.url?authorId=55737889400,Dartmouth-Hitchcock Clinic
"Ames, Bethany L.",3,2022,21,7,1.2,4,1,2010,55249207800,https://www.scopus.com/authid/detail.url?authorId=55249207800,Unknown affiliation
"Grant, Gavin D.",3,2013,142,47.3,1.3,13,3,2006,12773405900,https://www.scopus.com/authid/detail.url?authorId=12773405900,University of North Carolina at Chapel Hill
"Strauch, Carolyn B.",3,2018,42,14,0.77,3,0,2016,57195072936,https://www.scopus.com/authid/detail.url?authorId=57195072936,Dartmouth College
"Yao, Cuiping",3,2020,58,19.3,0.97,22,0,2020,7201495863,https://www.scopus.com/authid/detail.url?authorId=7201495863,Xi'an Jiaotong University
"Tishue, Avery J.",3,2023,30,10,0.71,2,0,2019,57211218623,https://www.scopus.com/authid/detail.url?authorId=57211218623,Dartmouth College
"Giese, Alexandra L.",3,2021,33,11,0.72,4,0,2015,57214617972,https://www.scopus.com/authid/detail.url?authorId=57214617972,University of Utah
"Hudziak, James J.",3,2019,1225,408.3,17.96,63,2,2016,7004104662,https://www.scopus.com/authid/detail.url?authorId=7004104662,University of Vermont
"Hever-Jardine, Mary P.",3,2017,115,38.3,1.44,4,1,2012,55538966200,https://www.scopus.com/authid/detail.url?authorId=55538966200,Dartmouth College
"Hyde, Robert J.",3,2015,0,0,0,0,0,2015,58431434400,https://www.scopus.com/authid/detail.url?authorId=58431434400,Unknown affiliation
"Almklov, Erin A.",3,2017,141,47,2.18,6,1,2013,55597830900,https://www.scopus.com/authid/detail.url?authorId=55597830900,Department of Veterans Affairs
"Surve, Sarvesh V.",3,2024,22,7.3,0.91,1,1,2022,57442865000,https://www.scopus.com/authid/detail.url?authorId=57442865000,Dartmouth College
"Shah, Jennifer Krupa",3,2024,1,0.3,1.61,2,1,2024,57669990300,https://www.scopus.com/authid/detail.url?authorId=57669990300,Dartmouth College
"Leeming, Reno C.",3,2022,5,1.7,0.34,3,0,2022,57201066265,https://www.scopus.com/authid/detail.url?authorId=57201066265,Unknown affiliation
"Smith, Derek A.",3,2015,19,6.3,0.41,5,0,2014,7410354340,https://www.scopus.com/authid/detail.url?authorId=7410354340,Case Western Reserve University
"Lin, Qixian",3,2017,24,8,0.46,2,0,2013,55830760000,https://www.scopus.com/authid/detail.url?authorId=55830760000,Unknown affiliation
"Nelson, Randall B.",3,2018,4,1.3,0.06,1,0,2018,15622612600,https://www.scopus.com/authid/detail.url?authorId=15622612600,Unknown affiliation
"Barrett-Campbell, Odeth O.",3,2022,53,17.7,2.39,3,1,2021,57204627748,https://www.scopus.com/authid/detail.url?authorId=57204627748,Unknown affiliation
"Kahn, John",3,2023,212,70.7,8.25,2,2,2022,57433426300,https://www.scopus.com/authid/detail.url?authorId=57433426300,Dartmouth College
"Alper, Erek H.",3,2017,146,48.7,1.35,3,0,2016,57190683660,https://www.scopus.com/authid/detail.url?authorId=57190683660,Dartmouth College
"Cheng, Hanyin",3,2021,27,9,0.79,4,0,2021,57224198831,https://www.scopus.com/authid/detail.url?authorId=57224198831,University College London
"Pechenick, Dov A.",3,2014,23,7.7,0.78,10,1,2011,57200105871,https://www.scopus.com/authid/detail.url?authorId=57200105871,Unknown affiliation
"Ray, Gabrielle S.",3,2024,10,3.3,1.99,5,1,2023,57207457636,https://www.scopus.com/authid/detail.url?authorId=57207457636,Dartmouth College
"Richey, Elizabeth A.",3,2015,13,4.3,0.2,8,0,2012,26322754000,https://www.scopus.com/authid/detail.url?authorId=26322754000,Yale University
"Lee, Changhwan",3,2015,183,61,1.94,9,1,2013,55759903200,https://www.scopus.com/authid/detail.url?authorId=55759903200,SUNY Albany
"Boulding, Elise",3,2019,1,0.3,0.34,3,0,2003,24354671200,https://www.scopus.com/authid/detail.url?authorId=24354671200,Unknown affiliation
"Kaminer, Michael S.",3,2017,50,16.7,1.16,27,2,2001,6701613834,https://www.scopus.com/authid/detail.url?authorId=6701613834,Unknown affiliation
"Declercq, Eugene Ft",3,2016,99,33,2.34,39,1,2015,7005068136,https://www.scopus.com/authid/detail.url?authorId=7005068136,Boston University
"Rhoads, Jared M.",3,2020,31,10.3,0.53,1,0,2015,57226154428,https://www.scopus.com/authid/detail.url?authorId=57226154428,Dartmouth College
"Chyn, Deanna L.",3,2024,114,38,9.27,5,2,2021,57208423183,https://www.scopus.com/authid/detail.url?authorId=57208423183,Dartmouth College
"Wood, Charles T.",3,2018,2,0.7,0,1,0,2018,57213154476,https://www.scopus.com/authid/detail.url?authorId=57213154476,Dartmouth College
"Parker, Siddhartha",3,2018,92,30.7,1.5,4,0,2016,55865271900,https://www.scopus.com/authid/detail.url?authorId=55865271900,Dartmouth College
"Dietrich, Allen J.",3,2021,89,29.7,1.07,48,35,1996,19433645800,https://www.scopus.com/authid/detail.url?authorId=19433645800,Dartmouth College
"Garciá Soto, Aylin",3,2024,4,1.3,0.15,2,0,2020,57217157451,https://www.scopus.com/authid/detail.url?authorId=57217157451,Dartmouth College
"Buraas, Eirik M.",3,2015,206,68.7,2.6,3,2,2014,56091996600,https://www.scopus.com/authid/detail.url?authorId=56091996600,Dartmouth College
"Stwertka, Carolyn H.",3,2018,74,24.7,1.37,2,0,2017,26427822500,https://www.scopus.com/authid/detail.url?authorId=26427822500,Dartmouth College
"Rzucidlo, Eva M.",3,2015,191,63.7,2.08,32,4,2003,6602627138,https://www.scopus.com/authid/detail.url?authorId=6602627138,Unknown affiliation
"Ruby, Kristen N.",3,2021,13,4.3,0.39,6,0,2018,57203278814,https://www.scopus.com/authid/detail.url?authorId=57203278814,Harvard University
"Geiger, Christopher J.",3,2023,5,1.7,0.37,1,0,2022,57572181500,https://www.scopus.com/authid/detail.url?authorId=57572181500,Dartmouth College
"Eom, Sujin",3,2023,6,2,0.4,3,0,2018,57203954281,https://www.scopus.com/authid/detail.url?authorId=57203954281,Dartmouth College
"Maguire, Ryan",3,2024,4,1.3,0.41,2,0,2023,57713488100,https://www.scopus.com/authid/detail.url?authorId=57713488100,Unknown affiliation
"Brooks, Lionel",3,2015,180,60,1.61,8,1,2008,14526838900,https://www.scopus.com/authid/detail.url?authorId=14526838900,Western Washington University
"Kemble, David J.",3,2020,8,2.7,0.17,7,0,2017,13404080200,https://www.scopus.com/authid/detail.url?authorId=13404080200,Harvard University
"Graeter, Karina A.",3,2021,48,16,1.1,5,0,2018,56786544600,https://www.scopus.com/authid/detail.url?authorId=56786544600,Unknown affiliation
"Banerjee, Areen",3,2019,28,9.3,0.55,5,0,2017,56391693900,https://www.scopus.com/authid/detail.url?authorId=56391693900,University of Wisconsin-Milwaukee
"McDonald, Brenna C.",3,2013,165,55,1.62,47,6,2002,7102704011,https://www.scopus.com/authid/detail.url?authorId=7102704011,Indiana University-Purdue University Indianapolis
"Anup, Amritha",3,2024,14,4.7,0.4,1,0,2022,58033132800,https://www.scopus.com/authid/detail.url?authorId=58033132800,Dartmouth College
"Donahue, Katelyn L.",3,2021,22,7.3,0.58,3,0,2019,59106214200,https://www.scopus.com/authid/detail.url?authorId=59106214200,Dartmouth College
"Aman, Sitwat",3,2023,119,39.7,1.61,5,1,2015,55553425400,https://www.scopus.com/authid/detail.url?authorId=55553425400,Unknown affiliation
"da Silva, Caitano Luiz",3,2017,29,9.7,0.49,12,0,2016,55315701500,https://www.scopus.com/authid/detail.url?authorId=55315701500,New Mexico Institute of Mining and Technology
"Grushina, Svetlana V.",3,2021,58,19.3,1.39,4,0,2017,57196744536,https://www.scopus.com/authid/detail.url?authorId=57196744536,Dartmouth College
"Seegmiller, Parker",3,2023,1,0.3,0.05,1,0,2022,57928825100,https://www.scopus.com/authid/detail.url?authorId=57928825100,Unknown affiliation
"Fordham von Reyn, C.",3,2021,15,5,0.33,5,0,2018,7004716467,https://www.scopus.com/authid/detail.url?authorId=7004716467,Dartmouth College
"Birkmeyer, Nancy J.O.",3,2022,108,36,3.48,47,6,1998,6701768952,https://www.scopus.com/authid/detail.url?authorId=6701768952,Unknown affiliation
"Splaine, Mark E.",3,2015,83,27.7,1.25,17,5,1997,6603699835,https://www.scopus.com/authid/detail.url?authorId=6603699835,Dartmouth College
"Fowler, Linda L.",3,2020,4,1.3,0.12,3,0,2003,7005212848,https://www.scopus.com/authid/detail.url?authorId=7005212848,Dartmouth College
"Agnew, Simon A.",3,2024,3,1,0.33,1,0,2023,58149285000,https://www.scopus.com/authid/detail.url?authorId=58149285000,Dartmouth College
"Galimberti, Fabrizio",3,2015,84,28,0.92,12,3,2007,22950643500,https://www.scopus.com/authid/detail.url?authorId=22950643500,Unknown affiliation
"Griffin, Sean",3,2021,13,4.3,0.79,1,1,2019,57218220452,https://www.scopus.com/authid/detail.url?authorId=57218220452,Dartmouth College
"Vermilyea, Danielle M.",3,2023,20,6.7,0.92,4,0,2021,57202796946,https://www.scopus.com/authid/detail.url?authorId=57202796946,Dartmouth College
"Pramanik, Susnata",3,2023,198,66,1.73,14,1,2016,55184759400,https://www.scopus.com/authid/detail.url?authorId=55184759400,SRM Institute of Science and Technology
"Hanson, Gregory S.",3,2019,54,18,1.18,3,0,2016,57195313868,https://www.scopus.com/authid/detail.url?authorId=57195313868,Dartmouth College
"Motanagh, Samaneh A.",3,2023,12,4,0.38,9,0,2020,57204940683,https://www.scopus.com/authid/detail.url?authorId=57204940683,University of Pittsburgh
"Lawson, Daniel E.",3,2016,46,15.3,0.91,22,0,2016,7202061216,https://www.scopus.com/authid/detail.url?authorId=7202061216,Dartmouth College
"Kaste, James M.",2,2019,23,11.5,1.97,25,3,2000,6602601473,https://www.scopus.com/authid/detail.url?authorId=6602601473,College of William and Mary
"Rezvani, David A.",2,2019,17,8.5,1.78,3,0,2016,53875391800,https://www.scopus.com/authid/detail.url?authorId=53875391800,Dartmouth College
"Garg, Sadhya",2,2021,28,14,1.12,1,0,2020,57215672213,https://www.scopus.com/authid/detail.url?authorId=57215672213,Dartmouth College
"Barnes, Matthew R.",2,2024,12,6,0.71,2,0,2022,57206143983,https://www.scopus.com/authid/detail.url?authorId=57206143983,Dartmouth College
"Pike, Andrew",2,2024,12,6,0.75,1,0,2022,57878457300,https://www.scopus.com/authid/detail.url?authorId=57878457300,Dartmouth College
"Zhang, Ziyin",2,2024,3,1.5,4.37,1,1,2024,58865229900,https://www.scopus.com/authid/detail.url?authorId=58865229900,Dartmouth College
"Chapman, Heidi M.",2,2020,121,60.5,2.11,2,1,2016,57198248594,https://www.scopus.com/authid/detail.url?authorId=57198248594,Dartmouth College
"Gan, Tao",2,2018,55,27.5,0.69,19,0,2010,56039288700,https://www.scopus.com/authid/detail.url?authorId=56039288700,Guangxi University
"Chauhan, Nirali B.",2,2020,68,34,3.32,2,1,2018,57200076136,https://www.scopus.com/authid/detail.url?authorId=57200076136,Dartmouth College
"Damiano, Ella A.",2,2023,5,2.5,0.15,3,0,2020,57204060992,https://www.scopus.com/authid/detail.url?authorId=57204060992,Dartmouth College
"Robinson, Sarah N.",2,2020,109,54.5,1.28,4,0,2013,57194974953,https://www.scopus.com/authid/detail.url?authorId=57194974953,Tufts Medical Center
"Keene, Christopher S.",2,2021,60,30,0.78,10,0,2005,8590756600,https://www.scopus.com/authid/detail.url?authorId=8590756600,Dartmouth College
"Edelson, Oliver F.",2,2018,94,47,1.61,2,1,2017,57194973283,https://www.scopus.com/authid/detail.url?authorId=57194973283,Dartmouth College
"Teja, Nikhil",2,2023,6,3,1.73,2,1,2023,57194513603,https://www.scopus.com/authid/detail.url?authorId=57194513603,Dartmouth College
"Maxson, Michele L.",2,2021,0,0,0,0,0,2021,57223794355,https://www.scopus.com/authid/detail.url?authorId=57223794355,United States Army Engineer Research and Development Center
"Davis, Lydia R.",2,2023,7,3.5,0.37,1,0,2021,57221910398,https://www.scopus.com/authid/detail.url?authorId=57221910398,Dartmouth College
"Khalenkov, Alexey M.",2,2015,72,36,1.57,10,0,2013,14011800700,https://www.scopus.com/authid/detail.url?authorId=14011800700,United States Food and Drug Administration
"Khodjasteh, Kaveh",2,2014,124,62,2.8,15,5,2008,6507991499,https://www.scopus.com/authid/detail.url?authorId=6507991499,Dartmouth College
"Hannoun, Anas",2,2021,19,9.5,1.04,3,0,2021,57200962411,https://www.scopus.com/authid/detail.url?authorId=57200962411,Dartmouth College
"Shu, Longmei",2,2023,7,3.5,0.84,1,0,2022,58827258900,https://www.scopus.com/authid/detail.url?authorId=58827258900,Unknown affiliation
"Díaz-Duhalde, Sebastián J.",2,2017,2,1,0,1,0,2014,56829556300,https://www.scopus.com/authid/detail.url?authorId=56829556300,Dartmouth College
"Hardy, Brianna",2,2023,19,9.5,7.29,1,1,2023,58242992600,https://www.scopus.com/authid/detail.url?authorId=58242992600,Dartmouth College
"Torchia, Michael T.",2,2019,84,42,2.21,27,0,2019,57192943145,https://www.scopus.com/authid/detail.url?authorId=57192943145,Illinois Bone & Joint Institute
"Brinks, Anna L.",2,2023,20,10,2.7,2,1,2022,57907513500,https://www.scopus.com/authid/detail.url?authorId=57907513500,Unknown affiliation
"Hopkins, Larissa E.",2,2016,18,9,1.01,2,0,2015,56769020300,https://www.scopus.com/authid/detail.url?authorId=56769020300,Dartmouth College
"Brooks, Owen M.K.",2,2020,49,24.5,2.04,1,1,2019,57205333497,https://www.scopus.com/authid/detail.url?authorId=57205333497,Dartmouth College
"Brown, Hunter",2,2019,4,2,0.81,2,0,2019,57208210381,https://www.scopus.com/authid/detail.url?authorId=57208210381,Dartmouth College
"Clark, Marissa D.",2,2022,5,2.5,0.52,1,0,2021,57221500571,https://www.scopus.com/authid/detail.url?authorId=57221500571,Dartmouth College
"Foti, Nicholas J.",2,2013,55,27.5,1.3,12,0,2011,38961174000,https://www.scopus.com/authid/detail.url?authorId=38961174000,Unknown affiliation
"Meng, Xing",2,2019,17,8.5,1.01,2,0,2019,57208187826,https://www.scopus.com/authid/detail.url?authorId=57208187826,Unknown affiliation
"Casella, Samuel J.",2,2018,23,11.5,0.65,11,0,2003,7004629466,https://www.scopus.com/authid/detail.url?authorId=7004629466,Unknown affiliation
"Nishi, Koji",2,2020,54,27,1.09,2,0,2014,56040732900,https://www.scopus.com/authid/detail.url?authorId=56040732900,Dartmouth College
"Guyre, Paul M.",2,2018,47,23.5,1.14,38,8,1996,7005066246,https://www.scopus.com/authid/detail.url?authorId=7005066246,Dartmouth College
"Chandola, Himanshu",2,2014,4,2,0.09,2,0,2010,56589750000,https://www.scopus.com/authid/detail.url?authorId=56589750000,Unknown affiliation
"Sartain, Shannon L.",2,2020,75,37.5,1.2,2,0,2019,57211961323,https://www.scopus.com/authid/detail.url?authorId=57211961323,Unknown affiliation
"Regunath, Viney",2,2023,1,0.5,0.18,1,0,2022,57984851700,https://www.scopus.com/authid/detail.url?authorId=57984851700,Dartmouth College
"Brown, Kristopher",2,2017,48,24,1.78,2,0,2015,57188818062,https://www.scopus.com/authid/detail.url?authorId=57188818062,Dartmouth College
"Harris, Carl",2,2023,13,6.5,1.25,2,0,2021,57222393963,https://www.scopus.com/authid/detail.url?authorId=57222393963,Dartmouth College
"Nailor, Audrey",2,2014,121,60.5,2.38,4,1,2013,55382798200,https://www.scopus.com/authid/detail.url?authorId=55382798200,Unknown affiliation
"Johnston, Abigail A.",2,2022,17,8.5,1.89,2,1,2021,57225824140,https://www.scopus.com/authid/detail.url?authorId=57225824140,Unknown affiliation
"Saito, Kenji",2,2023,6,3,1.43,2,0,2021,57225890818,https://www.scopus.com/authid/detail.url?authorId=57225890818,Dartmouth College
"Ramkumar, Dipak B.",2,2020,17,8.5,0.82,12,0,2018,56535178400,https://www.scopus.com/authid/detail.url?authorId=56535178400,Unknown affiliation
"Stewart, Kathleen O.",2,2024,1,0.5,0.26,1,0,2023,58146214000,https://www.scopus.com/authid/detail.url?authorId=58146214000,Dartmouth College
"Wu, Yijia",2,2023,6,3,0.73,2,0,2022,58845454800,https://www.scopus.com/authid/detail.url?authorId=58845454800,Unknown affiliation
"Rao, Sandhya",2,2019,2,1,0.13,1,0,2019,57208629473,https://www.scopus.com/authid/detail.url?authorId=57208629473,Dartmouth College
"Xia, Luxi",2,2023,5,2.5,4.07,1,2,2022,57658332300,https://www.scopus.com/authid/detail.url?authorId=57658332300,Dartmouth College
"Chin, Morven",2,2020,29,14.5,0.67,4,0,2017,57195933755,https://www.scopus.com/authid/detail.url?authorId=57195933755,Harvard University
"Synan, Liam T.",2,2023,9,4.5,0.53,1,0,2021,57223900711,https://www.scopus.com/authid/detail.url?authorId=57223900711,Dartmouth College
"Burnette, Mary",2,2017,45,22.5,1.59,2,0,2016,57170203900,https://www.scopus.com/authid/detail.url?authorId=57170203900,Dartmouth College
"Kolomiyets, Lada",2,2024,0,0,0,2,0,2023,57204498246,https://www.scopus.com/authid/detail.url?authorId=57204498246,Kyiv National Taras Shevchenko University
"Amin, Manik A.",2,2024,6,3,2.23,14,1,2022,56519029700,https://www.scopus.com/authid/detail.url?authorId=56519029700,Dartmouth College
"Odato, Karen",2,2016,41,20.5,1.35,2,0,2014,56163437900,https://www.scopus.com/authid/detail.url?authorId=56163437900,Dartmouth College
"Bentivoglio, Christine M.",2,2017,22,11,0.61,4,0,2006,6701661456,https://www.scopus.com/authid/detail.url?authorId=6701661456,Dartmouth College
"Harding, Katie",2,2017,22,11,0.46,2,0,2017,57194144694,https://www.scopus.com/authid/detail.url?authorId=57194144694,Dartmouth College
"Schaeffer, Emily K.",2,2014,44,22,0.8,13,0,2013,57034983200,https://www.scopus.com/authid/detail.url?authorId=57034983200,University of British Columbia
"Chachula, Sarah T.",2,2023,4,2,0.29,1,0,2020,57219905922,https://www.scopus.com/authid/detail.url?authorId=57219905922,Unknown affiliation
"Hsu, Jeffrey T.S.",2,2014,48,24,0.85,6,0,2012,55347252600,https://www.scopus.com/authid/detail.url?authorId=55347252600,Unknown affiliation
"Zhao, Yan",2,2015,66,33,1.85,2,0,2014,57213968427,https://www.scopus.com/authid/detail.url?authorId=57213968427,Dartmouth College
"Utter, Hannah",2,2022,5,2.5,0.47,1,0,2021,57224494801,https://www.scopus.com/authid/detail.url?authorId=57224494801,Dartmouth College
"Trepman, Alissa Z.",2,2020,22,11,0.93,6,0,2019,55923696800,https://www.scopus.com/authid/detail.url?authorId=55923696800,Dartmouth College
"Planck, Cameron J.",2,2020,27,13.5,0.75,2,0,2019,57209310997,https://www.scopus.com/authid/detail.url?authorId=57209310997,Dartmouth College
"Mahoney, James M.",2,2020,20,10,0.59,2,0,2020,58459500300,https://www.scopus.com/authid/detail.url?authorId=58459500300,Unknown affiliation
"Backer, Grant",2,2019,18,9,0.62,2,0,2018,57204557434,https://www.scopus.com/authid/detail.url?authorId=57204557434,Dartmouth College
"Alvermann, Thomas",2,2024,1,0.5,1.28,1,0,2023,58352054300,https://www.scopus.com/authid/detail.url?authorId=58352054300,Dartmouth College
"Wray, Samantha",2,2023,5,2.5,1.07,3,0,2022,57139927700,https://www.scopus.com/authid/detail.url?authorId=57139927700,Dartmouth College
"Gadde, Ramya",2,2021,6,3,0.44,4,0,2020,57194081929,https://www.scopus.com/authid/detail.url?authorId=57194081929,Case Western Reserve University
"Malinowski, Joseph",2,2021,54,27,1.75,2,1,2020,57219217228,https://www.scopus.com/authid/detail.url?authorId=57219217228,Unknown affiliation
"Rai, Karan",2,2022,35,17.5,1.45,1,1,2021,57278834300,https://www.scopus.com/authid/detail.url?authorId=57278834300,Dartmouth College
"Matous, Allison L.",2,2021,5,2.5,0.26,3,0,2021,57189386186,https://www.scopus.com/authid/detail.url?authorId=57189386186,Dartmouth College
"Hellerstedt, Sage T.",2,2022,410,205,10.63,7,1,2020,57190046841,https://www.scopus.com/authid/detail.url?authorId=57190046841,Dartmouth College
"Kohn, Meir G.",2,2021,3,1.5,0.93,2,0,2007,35792069800,https://www.scopus.com/authid/detail.url?authorId=35792069800,Dartmouth College
"Park, Seho",2,2020,11,5.5,0.49,5,0,2019,57197855970,https://www.scopus.com/authid/detail.url?authorId=57197855970,Indiana University-Purdue University Indianapolis
"Miller, Sarah B.",2,2020,38,19,1.24,2,0,2017,57195586219,https://www.scopus.com/authid/detail.url?authorId=57195586219,Dartmouth College
"Ahluwalia, Amrit Kaur",2,2020,12,6,0.3,3,0,2020,57219391734,https://www.scopus.com/authid/detail.url?authorId=57219391734,Tufts University
"Cirnigliaro, Noelia S.",2,2014,5,2.5,0.64,2,0,2013,55967849700,https://www.scopus.com/authid/detail.url?authorId=55967849700,Dartmouth College
"Lin, Yunxiao",2,2018,245,122.5,2.79,12,1,2017,57202996986,https://www.scopus.com/authid/detail.url?authorId=57202996986,Shanghai Jiao Tong University
"Knezek, Nicholas R.",2,2014,85,42.5,0.42,6,0,2013,55943889200,https://www.scopus.com/authid/detail.url?authorId=55943889200,University of California at Berkeley
"Fan, Xintao",2,2020,40,20,1.2,2,0,2018,57200012248,https://www.scopus.com/authid/detail.url?authorId=57200012248,Unknown affiliation
"Richter-Menge, Jacqueline A.",2,2015,278,139,3.41,37,1,2014,6701899848,https://www.scopus.com/authid/detail.url?authorId=6701899848,Unknown affiliation
"Stoll, Thomas M.",2,2014,2,1,0,1,0,2013,56121042100,https://www.scopus.com/authid/detail.url?authorId=56121042100,Unknown affiliation
"Tierney, Emily",2,2018,90,45,2.99,2,1,2016,57162768800,https://www.scopus.com/authid/detail.url?authorId=57162768800,Dartmouth College
"Wong, C. M.Michael",2,2022,7,3.5,1.4,2,1,2021,57215088501,https://www.scopus.com/authid/detail.url?authorId=57215088501,University of Ottawa
